Service;Status;Description;Remark
parcel-pl;SP_DSP;Shipment is waiting to be collected from DHL POP;
parcel-pl;SP_DW;Your shipment is on its way to DHL POP point;
parcel-pl;SP_DWP;Shipment sent from DHL POP is waiting to be collected by DHL courier;
parcel-pl;SP_KP;Customer was notified about the date and place for picking up shipment from DHL POP;
parcel-pl;SP_KZW;Return of shipment to Sender – collection date from DHL POP has expired;
parcel-pl;SP_OP;Shipment returned to sender – recipient refused to accept shipment from DHL POP;
parcel-pl;SP_PA;Shipment is waiting to be collected from DHL POP;
parcel-pl;SP_PU;Shipment picked up by DHL courier from DHL POP;
parcel-pl;SP_TO;Return of shipment to Sender – collection date from DHL POP has expired;
parcel-pl;SP_ZAM;Shipment delivery to DHL POP was suspended.Please contact DHL Parcel Customer Service Department at 42 6 345 345;
parcel-pl;SP_ZWR;Shipment returned to sender – recipient refused to accept shipment;
parcel-pl;TRM;Shipment ready to be delivered on the next working day;
parcel-pl;TRM_X;Shipment ready to be delivered on the next working day;
parcel-pl;TRM2;Shipment arrived at DHL Terminal.Delivery to the recipient is planned today at the time agreed with recipient;
parcel-pl;WEJPL;Shipment arrived in Poland;
parcel-pl;WER;Shipment ready to be delivered on the next working day;
parcel-pl;WYJPL;Shipment left Poland;
parcel-pl;ZA;Recipient’s decision: new delivery address for shipment;
parcel-pl;ZAIT;Recipient’s decision: new delivery address for shipment;
parcel-pl;ZID;Shipment ready to be delivered on the next working day;
parcel-pl;ZMA;Shipment ready to be delivered on the next working day;
parcel-pl;ZOS;Shipment ready to be delivered on the next working day;
parcel-pl;ZWN;Shipment returned to sender;
parcel-pl;ZWR;Shipment will be returned to sender;
parcel-pl;ZWR_AN;Shipment will be returned to sender;
parcel-pl;ZWR_OP;Shipment will be returned to sender.Delivery was not possible;
parcel-pl;ZWR_WER;Shipment will be returned to sender;
parcel-pl;ZWR_ZB;DHL courier made two delivery attempts. Time for shipment collection in DHL point has expired.Shipment will be returned to sender;
parcel-pl;ZWR_ZT;DHL courier made two delivery attempts. Time for shipment collection in DHL point has expired. Shipment was returned to sender after telephone confirmation;
parcel-pl;ZWW;Delivery failed. Shipment awaiting consecutive delivery cycle.;
parcel-pl;ZWW_KRYZ;Shipment ready to be delivered on the next working day;
parcel-pl;ZWW_NSP;Delivery to DHL POP is planned on the next working day;
express;PY;Payment;new since 4th June 2024
express;SM;Scheduled for movement;new since 4th June 2024
svb;AMBIGUOUS;UNKNOWN;
svb;AMOUNT_TRANSFERRED;DELIVERED;
svb;ANNOUNCED;PRE_TRANSIT;
svb;ARRIVAL_AT_OFFICE_OF_DELIVERY;TRANSIT;
svb;ARRIVED_IN_DESTINATION_COUNTRY;TRANSIT;
svb;ARRIVED_TRANSIT;TRANSIT;
svb;BZ;TRANSIT;
svb;BZA;TRANSIT;
svb;BZE;TRANSIT;
svb;CONFIRMATION_PENDING;DELIVERED;
svb;CONFIRMED;DELIVERED;
svb;CONFIRMED_BY_SENDER;DELIVERED;
svb;DELIVERED;DELIVERED;
svb;DELIVERED_ZU_NOT_OK;DELIVERED;
svb;DELIVERED_ZU_OK;DELIVERED;
svb;DELIVERY_ATTEMPTED;TRANSIT;
svb;DEPARTURE_FROM_INWARD_OE;TRANSIT;
svb;FETCHED;DELIVERED;
svb;FETCHED_KEY_ACCOUNT_PENDING_DELIVERY_CONFIRMATION;DELIVERED;
svb;FETCHED_NOTIFIED;DELIVERED;
svb;FETCHED_PACKSTATION;DELIVERED;
svb;FETCHED_PENDING_DELIVERY_CONFIRMATION;DELIVERED;
svb;FETCHED_PO_BOX_PENDING_DELIVERY_CONFIRMATION;DELIVERED;
svb;FORWARDED_ABROAD;TRANSIT;
svb;HANDOVER_CUSTOMS;TRANSIT;
svb;HELD_BY_CUSTOMS;TRANSIT;
svb;IN_DELIVERY;TRANSIT;
svb;IP_CUSTOMS;TRANSIT;
svb;ISSUE_OF_A_REPLACEMENT_CERTIFICATE_PZA;TRANSIT;
svb;MARBURG;TRANSIT;
svb;NO_INFO;UNKNOWN;
svb;NOTIFIED;TRANSIT;
svb;NOTIFIED_KEY_ACCOUNT;TRANSIT;
svb;NOTIFIED_PACKSTATION;TRANSIT;
svb;NOTIFIED_PO_BOX;TRANSIT;
svb;PAID_EPOS;DELIVERED;
svb;PAID_MAILMAN;DELIVERED;
svb;PASSED_LETTER_CENTER;TRANSIT;
svb;POSTED;TRANSIT;
svb;POSTED_ARRIVED;TRANSIT;
svb;POSTED_MAIL_TERMINAL;TRANSIT;
svb;REDIRECTED;TRANSIT;
svb;RETURNED_TO_SENDER;DELIVERED;
svb;SENT_BACK;TRANSIT;return
svb;SENT_BACK_ABROAD;TRANSIT;return
svb;TO_BE_SENT_ABROAD;TRANSIT;
ecommerce-ppl;150;We received the parcel from the sender;
ecommerce-ppl;300;The parcel is located at the delivery depot;
ecommerce-ppl;343;Package is ready in pickup point;
ecommerce-ppl;400;The parcel is ready for delivery;
ecommerce-ppl;450;The parcel is delivered;
ecommerce-ppl;460;The parcel will be delivered on another day;
ecommerce-ppl;464;The recipient refused to accept the parcel;
ecommerce-ppl;500;The parcel is on the way to the delivery depot;
ecommerce-ppl;900;Electronic data received;
ecommerce-ppl;997;Undelivered - Shipment lost;
ecommerce-ppl;999;Cancellation confirmed by sender - data only;
freight;ACT-2;Consignment created;
freight;64-0;Collection arranged - OK;
freight;48-0;Loaded by customer ready for Collection;
freight;15-501;Out for Collection;
freight;31-139;Entered collection geofence area;
freight;55-211;Not Collected - consignor closed;
freight;55-68;Not Collected - customer not ready;
freight;55-21;Not Collected - customer refusal;
freight;55-126;Not Collected - customs issue;
freight;55-240;Not Collected - DHL refusal, goods not transportable;
freight;55-241;Not Collected - missing or wrong reference;
freight;55-265;Not Collected - other reasons;
freight;55-294;Not Collected - time issue;
freight;55-20;Not Collected - traffic jam;
freight;55-266;Not Collected - weather condition issue;
freight;55-234;Not Collected - wrong address;
freight;13-0;Collected;
freight;31-140;Exited collection geofence area;
freight;24-0;Shipped from terminal;
freight;1-0;Received at terminal;
freight;20-126;On hold - in customs clearance.;
freight;12-0;Customs cleared;
freight;20-266;Delayed during transport - bad weather.;
freight;20-354;Delayed during transport - bank holiday.;
freight;20-270;Exception occurred - Strike.;
freight;7-0;New shipping instruction - consignment cancelled by sender;
freight;56-222;New shipping instruction - shipment returned.;
freight;1-21;Arrival at destination;
freight;20-208;Shipment in warehouse – Awaiting delivery appointment;
freight;20-209;Shipment in warehouse – Delivery appointment booked;
freight;20-13;Shipment in warehouse - ready for self collection by consignee;
freight;20-296;Shipment in warehouse - waiting for consignee payment.;
freight;24-628;Direct delivery;
freight;24-501;Out for Delivery;
freight;361-139;Entered delivery geofence area;
freight;20-211;Attempted DHL delivery - consignee closed;
freight;56-211;Attempted DHL delivery - consignee not met;
freight;56-292;Attempted DHL delivery - refused by consignee, COD/DAD problem.;
freight;56-284;Attempted DHL delivery - refused by consignee, wrong goods.;
freight;56-611;Attempted DHL delivery - refused by consignee.;
freight;56-241;Attempted DHL delivery - refused due to missing documents;
freight;20-234;Attempted DHL delivery - wrong consignee address ;
freight;24-600;Received by consignee;
freight;21-234;Shipment delivered - new delivery address following consignee instruction;
freight;21-23;Shipment delivered with exception - partly delivered;
freight;21-600;Shipment delivered with exception.;
freight;21-0;Delivered;
freight;361-140;Exited delivery geofence area;
dgf;DATA_SUBMITTED;DATA SUBMITTED - AWAITING PARCEL HANDOVER TO DHL;pre-transit (dgf sbr only)
dgf;PICKUP_SUCCESSFUL;PICKUP SUCCESSFUL;transit (dgf sbr only)
dgf;ARRIVED_AT_ORIGIN_FACILITY;ARRIVED AT ORIGIN FACILITY;transit (dgf sbr only)
dgf;PROCESSED_AT_ORIGIN_FACILITY;PROCESSED AT FACILITY;transit (dgf sbr only)
dgf;DEPARTED_FROM_ORIGIN_FACILITY;DEPARTED FROM FACILITY;transit (dgf sbr only)
dgf;READY_FOR_DEPARTURE;READY FOR DEPARTURE;transit (dgf sbr only)
dgf;DEPARTED;DEPARTED ON OUTBOUND FLIGHT;transit (dgf sbr only)
dgf;ARRIVED;FLIGHT LANDED;transit (dgf sbr only)
dgf;ARRIVED_AT_CUSTOMS;ARRIVED AT CUSTOMS;transit (dgf sbr only)
dgf;ARRIVED_AT_CUSTOMS;ARRIVED AT CUSTOMS;transit (dgf sbr only)
dgf;CLEARED_BY_CUSTOMS;CLEARED BY CUSTOMS;transit (dgf sbr only)
dgf;ARRIVED_PROCESSED_AT_FACILITY;ARRIVED AT FACILITY - PARTNER;transit (dgf sbr only)
dgf;ARRIVED_PROCESSED_AT_FACILITY;ARRIVED AT FACILITY - PARTNER;transit (dgf sbr only)
dgf;OUT_FOR_DELIVERY;OUT FOR DELIVERY;transit (dgf sbr only)
dgf;DELIVERED;SUCCESSFULLY DELIVERED;delivered (dgf sbr only)
dgf;HELD_AT_CUSTOMS;HELD AT CUSTOMS;transit (dgf sbr only)
dgf;DELIVERY_EXCEPTION;DELIVERY EXCEPTION;transit (dgf sbr only)
ecommerce-europe;1;Electronical shipment data has been provided to DHL;Pre-transit
ecommerce-europe;2;The shipment has been collected;Transit
ecommerce-europe;3;The shipment has been dropped off at Parcelshop by sender;Transit
ecommerce-europe;4;The shipment has been dropped off at Parcelstation by sender;Transit
ecommerce-europe;5;The shipment has been dropped off at Postoffice by sender;Transit
ecommerce-europe;6;The shipment has been dropped off at depot by sender;Transit
ecommerce-europe;7;The shipment has been dropped off at sorting center by sender;Transit
ecommerce-europe;8;The shipment has been dropped off at gateway by sender;Transit
ecommerce-europe;9;The shipment has been picked up at sender;Transit
ecommerce-europe;14;The shipment has been picked up at Parcelshop by courier ;Transit
ecommerce-europe;15;The shipment has been picked up at Parcelstation by courier ;Transit
ecommerce-europe;16;The shipment has been picked up at Access Point by courier ;Transit
ecommerce-europe;17;The shipment has been picked up at Postoffice by courier ;Transit
ecommerce-europe;19;The shipment has been processed at terminal;Transit
ecommerce-europe;20;The shipment has departed from terminal;Transit
ecommerce-europe;22;The shipment has been processed at depot;Transit
ecommerce-europe;23;The shipment has left the depot;Transit
ecommerce-europe;25;The shipment has been processed at sorting center ;Transit
ecommerce-europe;26;The shipment has been processed and left the sorting center;Transit
ecommerce-europe;27;The shipment has arrived at gateway in origin country ;Transit
ecommerce-europe;28;The shipment has been processed at gateway in origin country ;Transit
ecommerce-europe;29;The shipment has left origin country ;Transit
ecommerce-europe;30;The shipment has arrived in transit country;Transit
ecommerce-europe;31;The shipment has been processed in transit country;Transit
ecommerce-europe;32;The shipment has left transit country;Transit
ecommerce-europe;33;The shipment has arrived in destination country;Transit
ecommerce-europe;37;The shipment has arrived at sorting center ;Transit
ecommerce-europe;38;The shipment has been processed at sorting center ;Transit
ecommerce-europe;40;The shipment has arrived at depot ;Transit
ecommerce-europe;41;The shipment has been processed at depot ;Transit
ecommerce-europe;42;The shipment has been loaded to the van;Transit
ecommerce-europe;43;The shipment has been handed over to the Access Point;Delivered
ecommerce-europe;44;The shipment has been handed over to the Parcelshop;Delivered
ecommerce-europe;45;The shipment has been handed over to the Parcelstation;Delivered
ecommerce-europe;46;The shipment has been handed over to the Postoffice;Delivered
ecommerce-europe;47;The shipment has been handed over to the depot;Transit
ecommerce-europe;52;The recipient has been notified (e.g. via email) about delivery details and available services;Transit
ecommerce-europe;53;The recipient has requested changes to the delivery process;Transit
ecommerce-europe;56;The recipient has requested changes to the delivery process;Transit
ecommerce-europe;57;The recipient has requested changes to the delivery process;Transit
ecommerce-europe;58;The recipient has requested changes to the delivery process;Transit
ecommerce-europe;59;The recipient has requested changes to the delivery process;Transit
ecommerce-europe;60;The recipient has requested changes to the delivery process;Transit
ecommerce-europe;61;The recipient has requested changes to the delivery process;Transit
ecommerce-europe;62;The recipient has requested changes to the delivery process;Transit
ecommerce-europe;63;The shipment has been successfully delivered;Delivered
ecommerce-europe;64;The shipment has been successfully delivered;Delivered
ecommerce-europe;65;The shipment has been picked up by the recipient from depot;Delivered
ecommerce-europe;66;The shipment has been picked up by the recipient from Parcelshop;Delivered
ecommerce-europe;67;The shipment has been picked up by the recipient from Parcelstation;Delivered
ecommerce-europe;68;The shipment has been picked up by the recipient from Postoffice;Delivered
ecommerce-europe;69;The shipment has been successfully delivered;Delivered
ecommerce-europe;70;The shipment has been successfully delivered;Delivered
ecommerce-europe;71;The shipment has been successfully delivered;Delivered
ecommerce-europe;72;The shipment could not be delivered to the recipient;Failure
ecommerce-europe;73;The shipment could not be delivered to the recipient, because the recipient was not available;Failure
ecommerce-europe;74;The shipment could not be delivered to the recipient, because the recipient was not available;Failure
ecommerce-europe;75;The shipment could not be delivered to the recipient, because the recipient was not available;Failure
ecommerce-europe;76;The shipment could not be delivered to the recipient, because the recipient has refused the shipment;Failure
ecommerce-europe;77;The shipment could not be delivered to the recipient, due to unsuccessful COD payment;Failure
ecommerce-europe;78;The shipment could not be delivered to the recipient, due to unsuccessful COD payment;Failure
ecommerce-europe;79;The shipment could not be delivered to the recipient, because of an incorrect delivery address;Failure
ecommerce-europe;80;The shipment could not be delivered to the recipient, because of an incorrect delivery address;Failure
ecommerce-europe;81;The shipment could not be delivered to the recipient, because the recipient has moved away;Failure
ecommerce-europe;82;The shipment could not be delivered to the recipient, because the recipient could not show the mandatory ID for personal identification;Failure
ecommerce-europe;83;During the delivery, the shipment was damaged;Failure
ecommerce-europe;85;The shipment could not be delivered to the recipient, because the recipient was not available;Failure
ecommerce-europe;86;The shipment could not be delivered to the recipient, because the payment of charges is missing;Failure
ecommerce-europe;87;The shipment could not be handed over to the Service Point because the Service point was closed ;Failure
ecommerce-europe;88;The shipment could not be handed over to the Service Point because of capacity restraints in the Service Point;Failure
ecommerce-europe;89;The shipment could not be handed over to the Service Point because it exceeds the maximum weight or dimensions allowed in the Service Point;Failure
ecommerce-europe;90;The shipment could not be handed over to the Service Point because the Service point was closed ;Failure
ecommerce-europe;91;The shipment could not be handed over to the Service Point because of capacity restraints in the Service Point;Failure
ecommerce-europe;92;The shipment could not be handed over to the Service Point because it exceeds the maximum weight or dimensions allowed in the Service Point;Failure
ecommerce-europe;93;The shipment could not be handed over to the Parcel Locker because of capacity restraints in the Parcel Locker;Failure
ecommerce-europe;94;The shipment could not be handed over to the Parcel Locker because the Parcel Locker is out of service;Failure
ecommerce-europe;95;The shipment could not be handed over to the Parcel Locker because it violates the GT&C of the Parcel Locker;Failure
ecommerce-europe;96;The shipment could not be handed over to the Post Office because the Post Office was closed ;Failure
ecommerce-europe;97;The shipment could not be handed over to the Post Office because of capacity restraints in the Post Office;Failure
ecommerce-europe;98;The shipment could not be handed over to the Post Office because it exceeds the maximum weight or dimensions allowed in the Post Office;Failure
ecommerce-europe;99;The shipment has no been picked up by the recipient within the defined time and will be sent back to the sender;Failure
ecommerce-europe;100;The shipment has no been picked up by the recipient within the defined time and will be sent back to the sender;Failure
ecommerce-europe;101;The shipment has no been picked up by the recipient within the defined time and will be sent back to the sender;Failure
ecommerce-europe;102;The shipment has no been picked up by the recipient within the defined time and will be sent back to the sender;Failure
ecommerce-europe;130;The shipment has been released from export Customs;Transit
ecommerce-europe;133;The shipment has been cleared at import Customs in destination country / region;Transit
ecommerce-europe;141;The shipment has been held until next working day because recipient is not available;Transit
ecommerce-europe;142;The shipment has been held because recipient requested later delivery;Transit
ecommerce-europe;149;The shipment has been held and will be returned to sender;Failure
ecommerce-europe;151;The shipment has been stopped without delivery attempt because recipient has refused the shipment.The shipment will be returned to sender;Failure
ecommerce-europe;152;The import of the shipment has been terminated. The shipment will be returned to sender;Failure
ecommerce-europe;154;The delivery of the shipment failed;Transit
ecommerce-europe;155;The shipment has not been picked up within the defined time and will be sent back to the sender;Failure
ecommerce-europe;156;The shipment could not be delivered because of an exceptional event;Failure
ecommerce-europe;157;The shipment could not be delivered because recipient moved. Shipment will be returned to sender;Failure
ecommerce-europe;159;The shipment could not be delivered because recipient requested to forward/redirect parcel;Transit
ecommerce-europe;160;The shipment could not be delivered and will be returned to the sender;Failure
ecommerce-europe;161;The shipment could not be delivered;Transit
ecommerce-europe;172;The shipment has been held because recipient requested later delivery;Transit
ecommerce-europe;194;Shipment has been held according to recipient's request;Transit
ecommerce-europe;200;The shipment could not be handed over to the Service Point because it exceeds the maximum weight or dimensions allowed in the Service Point;Failure
ecommerce-europe;206;The shipment could not be delivered to the recipient, because of incorrect address;Transit
ecommerce-europe;207;Recipient has refused the shipment;Failure
ecommerce-europe;208;Recipient has refused the shipment during collection;Failure
ecommerce-europe;209;Recipient has refused the shipment during collection;Failure
ecommerce-europe;210;The shipment could not be delivered, because the recipient has refused it;Failure
ecommerce-europe;211;The shipment could not be delivered, because the recipient has refused it;Failure
ecommerce-europe;214;The shipment could not be handed over because payment of charges is missing;Failure
ecommerce-europe;215;The shipment could not be handed over because payment of charges is missing;Failure
ecommerce-europe;217;The shipment could not be delivered and is scheduled for further processing on next working day;Transit
ecommerce-europe;218;The shipment could not be delivered because recipient requested later delivery;Transit
ecommerce-europe;219;The shipment could not be delivered and is being held because recipient requested later delivery;Transit
ecommerce-europe;222;The shipment  could not be delivered due recipient's request;Failure
ecommerce-europe;223;The shipment  could not be delivered due recipient's request;Failure
ecommerce-europe;226;The shipment has been collected;Transit
ecommerce-europe;228;The shipment has been picked up at access point by courier ;Transit
ecommerce-europe;230;The shipment has been processed at terminal in origin country;Transit
ecommerce-europe;231;The shipment has departed from terminal;Transit
ecommerce-europe;232;The shipment has been processed in transit country;Transit
ecommerce-europe;233;The shipment has been processed at terminal in destination country;Transit
ecommerce-europe;234;The shipment has arrived at gateway in origin country ;Transit
ecommerce-europe;235;The shipment has left origin country ;Transit
ecommerce-europe;236;The shipment has arrived in transit country;Transit
ecommerce-europe;237;The shipment has left transit country;Transit
ecommerce-europe;238;The shipment has arrived in destination country;Transit
ecommerce-europe;240;The shipment has arrived at sorting center ;Transit
ecommerce-europe;242;The shipment has arrived at depot ;Transit
ecommerce-europe;248;The shipment is undeliverable and will be returned to destination under a new ID;Failure
ecommerce-europe;249;The shipment is undeliverable and will be returned to the agreed return address in the destination country;Failure
ecommerce-europe;253;The shipment couldn´t be delivered because of an exceptional event. Further attempt on next working day;Failure
ecommerce-europe;254;The shipment has left the customer facility;Pre-transit
ecommerce-europe;255;The shipment was pre-sorted by 3rd party provider;Transit
ecommerce-europe;258;The shipment was presented to import  customs by 3rd party provider;Failure
ecommerce-europe;259;The shipment has been held because of missing or inapproriate documentation and will be returned to the sender;Failure
ecommerce-europe;264;The shipment could not be delivered because of bad weather conditions. Further processing expected on next working day;Failure
ecommerce-europe;265;The shipment could not be delivered because of capacity issues. Further processing expected on next working day;Failure
ecommerce-europe;266;The shipment has been held for bad weather conditions. Further processing expected next working day;Failure
ecommerce-europe;267;The shipment has been held for capacity issues. Further processing expected next working day;Failure
ecommerce-europe;268;The shipment has been held and is awaiting payment of charges;Failure
ecommerce-europe;269;The shipment has been held. Further processing expected next working day;Failure
ecommerce-europe;302;The shipment has been handed over for final delivery;Delivered
ecommerce-europe;306;Packaging of parcel was torn. Parcel has been successfully delivered;Delivered
ecommerce-europe;330;The shipment could not be delivered to the recipient, because the recipient could not show the mandatory ID for personal identification;Failure
ecommerce-europe;354;The shipment has been processed at terminal;Transit
ecommerce-europe;355;The shipment has been processed in transit country;Transit
ecommerce-europe;356;The shipment has been processed at terminal in destination country;Transit
ecommerce-europe;358;The shipment has been identified as oversized;Transit
ecommerce-europe;363;The shipment is handled by a return consolidator;Transit
ecommerce-europe;364;The shipment is assigned to a transport container;Transit
ecommerce-europe;365;The shipment was assigned to a transport container and is ready for departure from return consolidator with new shipment ID;Transit
ecommerce-europe;366;The shipment has been delivered back to the business sender;Delivered
ecommerce-europe;367;The shipment was pre-sorted by 3rd party provider;Pre-transit
ecommerce-europe;368;The shipment was presented to export customs by 3rd party provider;Pre-transit
ecommerce-europe;369;The shipment was handed over to transport provider;Pre-transit
ecommerce-europe;370;The shipment was presented to import  customs by 3rd party provider;Pre-transit
ecommerce-europe;372;The shipment could not be delivered to the recipient, because the recipient was not available;Failure
ecommerce-europe;377;The shipment has been processed in transit country;Transit
ecommerce-europe;378;The shipment has been processed in transit country;Transit
ecommerce-europe;379;The shipment has been processed in transit country;Transit
ecommerce-europe;380;The shipment has been processed according to the business customer's instructions;Transit
ecommerce-europe;392;The shipment could not be picked up due to a malfuntion of the Locker;Transit
ecommerce-europe;395;The shipment couldn´t be handed over to the Service Point as it was closed;Transit
